ID,Class,Enroll Count,Session,Meeting Days,Meeting Times,Room,Instructor
EENG5310_001,Control Systems Design,16,08/19/2024 - 12/13/2024,Tuesday Thursday,1:00PM to 2:20PM,NTDP E265,"Guturu,Parthasarathy"
EENG5310_605,Control Systems Design,1,08/19/2024 - 12/13/2024,Tuesday Thursday,1:00PM to 2:20PM,NTDP E265,"Guturu,Parthasarathy"
EENG5350_001,Renewable Electrical Power Systems,5,08/19/2024 - 12/13/2024,Monday Wednesday,10:00AM to 11:20AM,NTDP B227,"Acevedo,Miguel F"
EENG5540_001,Digital Integrated Circuit Design,24,08/19/2024 - 12/13/2024,Monday Wednesday,11:30AM to 12:50PM,NTDP B227,"Mehta,Gayatri"
EENG5540_600,Digital Integrated Circuit Design,1,08/19/2024 - 12/13/2024,Monday Wednesday,11:30AM to 12:50PM,NTDP B227,"Mehta,Gayatri"
EENG5580_001,Power Electronics,23,08/19/2024 - 12/13/2024,Tuesday Thursday,11:30AM to 12:50PM,NTDP B190,"Siu,King man"
EENG5580_600,Power Electronics,2,08/19/2024 - 12/13/2024,Tuesday Thursday,11:30AM to 12:50PM,NTDP B190,"Siu,King man"
EENG5610_001,Digital Signal Processing,6,08/19/2024 - 12/13/2024,Monday Wednesday,10:00AM to 11:20AM,NTDP E265,"Derryberry,Roy Thomas"
EENG5610_600,Digital Signal Processing,0,08/19/2024 - 12/13/2024,Monday Wednesday,10:00AM to 11:20AM,NTDP E265,"Derryberry,Roy Thomas"
EENG5640_001,Computer Vision and Image Analysis,46,08/19/2024 - 12/13/2024,Monday Wednesday,4:00PM to 5:20PM,NTDP E265,"Guturu,Parthasarathy"
EENG5640_600,Computer Vision and Image Analysis,3,08/19/2024 - 12/13/2024,Monday Wednesday,4:00PM to 5:20PM,NTDP E265,"Guturu,Parthasarathy"
EENG5810_001,Digital Communications,19,08/19/2024 - 12/13/2024,Tuesday Thursday,1:00PM to 2:20PM,NTDP B227,"Derryberry,Roy Thomas"
EENG5940_007,Advanced Topics in Electrical Engineering,23,08/19/2024 - 12/13/2024,Tuesday Thursday,2:30PM to 3:50PM,NTDP K120,"Wang,Shuping"
EENG5940_011,Advanced Topics in Electrical Engineering,20,08/19/2024 - 12/13/2024,Tuesday Thursday,4:00PM to 5:20PM,NTDP B140,"Kougianos,Elias"
MEEN1000_001,Discover Mechanical and Energy Engineering,59,08/19/2024 - 12/13/2024,Monday Wednesday,8:30AM to 9:20AM,NTDP E266,"Nazarian,Ramon"
MEEN2110_002,Engineering Data Analysis,66,08/19/2024 - 12/13/2024,Monday Wednesday,2:30PM to 3:50PM,NTDP F175,"Shi,Sheldon Qiang"
MEEN2210_001,Thermodynamics I,48,08/19/2024 - 12/13/2024,Tuesday Thursday,4:00PM to 5:20PM,NTDP F175,"Choi,Tae-Youl"
MEEN2240_001,Programming for Mechanical Engineers,30,08/19/2024 - 12/13/2024,Tuesday Thursday,1:00PM to 2:20PM,NTDP B140,"Xu,Yunwei"
MEEN2240_002,Programming for Mechanical Engineers,24,08/19/2024 - 12/13/2024,Monday Wednesday,1:00PM to 2:20PM,NTDP F185,"Xu,Yunwei"
MEEN3100_003,Manufacturing Processes,50,08/19/2024 - 12/13/2024,Tuesday,8:30AM to 10:20AM,NTDP B155,"Wasikowski,Mark Edward"
MEEN3100_308,Manufacturing Processes,14,08/19/2024 - 12/13/2024,Wednesday,2:30PM to 5:20PM,NTDP F162,"Wasikowski,Mark Edward"
MEEN3100_309,Manufacturing Processes,13,08/19/2024 - 12/13/2024,Thursday,10:00AM to 12:50PM,NTDP F162,"Wasikowski,Mark Edward"
MEEN3100_311,Manufacturing Processes,12,08/19/2024 - 12/13/2024,Wednesday,8:30AM to 11:20AM,NTDP F162,"Wasikowski,Mark Edward"
MEEN3100_312,Manufacturing Processes,11,08/19/2024 - 12/13/2024,Monday,10:00AM to 12:50PM,NTDP F162,"Wasikowski,Mark Edward"
MEEN3110_002,Thermodynamics II,49,08/19/2024 - 12/13/2024,Monday Wednesday Friday,1:30PM to 2:20PM,NTDP F183,"Li,Xiaohua"
MEEN3120_002,Fluid Mechanics,48,08/19/2024 - 12/13/2024,Tuesday Thursday,8:30AM to 9:50AM,NTDP B190,"Sadat,Hamid"
MEEN3130_001,Machine Elements,26,08/19/2024 - 12/13/2024,Tuesday Thursday,8:30AM to 9:50AM,NTDP F175,"Qandil,Hassan"
MEEN3210_001,Heat Transfer,19,08/19/2024 - 12/13/2024,Monday Wednesday,10:00AM to 11:20AM,NTDP F187,"Manzo,Maurizio"
MEEN3230_001,System Dynamics & Control,20,08/19/2024 - 12/13/2024,Tuesday Thursday,2:30PM to 3:50PM,NTDP F183,"Wasikowski,Mark Edward"
MEEN3240_002,Mechanical and Energy Engineering Laboratory I,47,08/19/2024 - 12/13/2024,Friday,9:00AM to 9:50AM,NTDP E264,"Li,Xiaohua"
MEEN3240_304,Mechanical and Energy Engineering Laboratory I,19,08/19/2024 - 12/13/2024,Thursday,2:30PM to 5:20PM,NTDP  F158,"Li,Xiaohua"
MEEN3240_306,Mechanical and Energy Engineering Laboratory I,20,08/19/2024 - 12/13/2024,Tuesday,12:30PM to 3:20PM,NTDP  F158,"Li,Xiaohua"
MEEN3240_307,Mechanical and Energy Engineering Laboratory I,8,08/19/2024 - 12/13/2024,Friday,2:30PM to 5:20PM,NTDP  F158,"Li,Xiaohua"
MEEN3242_003,Mechanical and Energy Engineering Laboratory II,18,08/19/2024 - 12/13/2024,Friday,11:30AM to 12:20PM,NTDP D202,"Zhang,Zihao"
MEEN3242_302,Mechanical and Energy Engineering Laboratory II,8,08/19/2024 - 12/13/2024,Thursday,5:30PM to 8:20PM,NTDP  F158,"Zhang,Zihao"
MEEN3242_308,Mechanical and Energy Engineering Laboratory II,9,08/19/2024 - 12/13/2024,Thursday,9:30AM to 12:20PM,NTDP  F158,"Zhang,Zihao"
MEEN3242_309,Mechanical and Energy Engineering Laboratory II,1,08/19/2024 - 12/13/2024,Monday,12:00PM to 2:50PM,NTDP  F158,"Zhang,Zihao"
MEEN3250_003,Numerical Methods for MEE Engineers,52,08/19/2024 - 12/13/2024,Monday Wednesday,11:30AM to 12:50PM,NTDP F185,"Xu,Yunwei"
MEEN4140_001,Finite Element Analysis,36,08/19/2024 - 12/13/2024,Tuesday Thursday,11:30AM to 12:50PM,NTDP B142,"Xu,Yunwei"
MEEN4140_101,Finite Element Analysis,36,08/19/2024 - 12/13/2024,Friday,10:00AM to 12:50PM,NTDP F185,"Xu,Yunwei"
MEEN4150_002,Mechanical Energy Engineering Systems Design I,59,08/19/2024 - 12/13/2024,Tuesday Thursday,4:00PM to 5:20PM,NTDP B185,"Qandil,Hassan"
MEEN4150_301,Mechanical Energy Engineering Systems Design I,10,08/19/2024 - 12/13/2024,Saturday,8:00AM to 10:50AM,NTDP D202,"Qandil,Hassan"
MEEN4150_302,Mechanical Energy Engineering Systems Design I,12,08/19/2024 - 12/13/2024,Saturday,8:00AM to 10:50AM,NTDP D212,"Qandil,Hassan"
MEEN4150_303,Mechanical Energy Engineering Systems Design I,25,08/19/2024 - 12/13/2024,Saturday,11:00AM to 1:50PM,NTDP D212,"Qandil,Hassan"
MEEN4150_304,Mechanical Energy Engineering Systems Design I,9,08/19/2024 - 12/13/2024,Saturday,2:00PM to 4:50PM,NTDP D212,"Qandil,Hassan"
MEEN4150_305,Mechanical Energy Engineering Systems Design I,3,08/19/2024 - 12/13/2024,Saturday,5:00PM to 7:50PM,NTDP D212,"Qandil,Hassan"
MEEN4151_001,Manufacturing of Renewable Biocomposites for Light,25,08/19/2024 - 12/13/2024,Monday Wednesday,11:30AM to 12:50PM,NTDP B190,"Shi,Sheldon Qiang"
MEEN4160_001,Mechanical Vibrations,4,08/19/2024 - 12/13/2024,Tuesday Thursday,8:30AM to 9:50AM,NTDP D201,"Zhang,Haifeng"
